Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01359.01","Persimmons","2021","2021","kg/ha","7468","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01359.01","Persimmons","2022","2022","kg/ha","7541.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01707","Pigeon peas, dry","2021","2021","kg/ha","716.8","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01707","Pigeon peas, dry","2022","2022","kg/ha","722.6","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01375","Pistachios, in shell","2021","2021","kg/ha","1605.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01375","Pistachios, in shell","2022","2022","kg/ha","1502.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01346","Plums and sloes","2021","2021","kg/ha","10213.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01346","Plums and sloes","2022","2022","kg/ha","12999.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01321","Pomelos and grapefruits","2021","2021","kg/ha","13161.5","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01321","Pomelos and grapefruits","2022","2022","kg/ha","13392.3","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2021","2021","kg/ha","25063.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2022","2022","kg/ha","25266.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01235","Pumpkins, squash and gourds","2021","2021","kg/ha","15582.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01235","Pumpkins, squash and gourds","2022","2022","kg/ha","14222.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01443","Rape or colza seed","2021","2021","kg/ha","1344.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01443","Rape or colza seed","2022","2022","kg/ha","1484.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2021","2021","kg/ha","3953.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2022","2022","kg/ha","3690.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01921.01","Seed cotton, unginned","2021","2021","kg/ha","2114.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01921.01","Seed cotton, unginned","2022","2022","kg/ha","1124.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01444","Sesame seed","2021","2021","kg/ha","640.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01444","Sesame seed","2022","2022","kg/ha","586.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0114","Sorghum","2021","2021","kg/ha","835.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0114","Sorghum","2022","2022","kg/ha","819","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0141","Soya beans","2021","2021","kg/ha","872.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0141","Soya beans","2022","2022","kg/ha","642.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01215","Spinach","2021","2021","kg/ha","12355.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01215","Spinach","2022","2022","kg/ha","12707.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01354","Strawberries","2021","2021","kg/ha","3559.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01354","Strawberries","2022","2022","kg/ha","3711.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01801","Sugar beet","2021","2021","kg/ha","39201","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01801","Sugar beet","2022","2022","kg/ha","39502.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01802","Sugar cane","2021","2021","kg/ha","70341.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01802","Sugar cane","2022","2022","kg/ha","66711.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01445","Sunflower seed","2021","2021","kg/ha","1484.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01445","Sunflower seed","2022","2022","kg/ha","1566.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01530","Sweet potatoes","2021","2021","kg/ha","8813.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01530","Sweet potatoes","2022","2022","kg/ha","8634.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01324","Tangerines, mandarins, clementines","2021","2021","kg/ha","13528.8","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01324","Tangerines, mandarins, clementines","2022","2022","kg/ha","13470","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01234","Tomatoes","2021","2021","kg/ha","11770.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01234","Tomatoes","2022","2022","kg/ha","11888.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01970","Unmanufactured tobacco","2021","2021","kg/ha","3065.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01970","Unmanufactured tobacco","2022","2022","kg/ha","3066.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01376","Walnuts, in shell","2021","2021","kg/ha","8266.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01376","Walnuts, in shell","2022","2022","kg/ha","8731","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01221","Watermelons","2021","2021","kg/ha","39722.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01221","Watermelons","2022","2022","kg/ha","38773.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0111","Wheat","2021","2021","kg/ha","2995.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0111","Wheat","2022","2022","kg/ha","2919.6","A","Official figure",""
