Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01241.90","Other beans, green","2022","2022","kg/ha","3212.8","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01241.90","Other beans, green","2023","2023","kg/ha","3216","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01359.90","Other fruits, n.e.c.","2021","2021","kg/ha","7639.3","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01359.90","Other fruits, n.e.c.","2022","2022","kg/ha","7659.4","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01359.90","Other fruits, n.e.c.","2023","2023","kg/ha","7679.6","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01290.90","Other vegetables, fresh n.e.c.","2021","2021","kg/ha","18923.2","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01290.90","Other vegetables, fresh n.e.c.","2022","2022","kg/ha","18823.3","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01290.90","Other vegetables, fresh n.e.c.","2023","2023","kg/ha","18664.2","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01345","Peaches and nectarines","2021","2021","kg/ha","12048.7","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01345","Peaches and nectarines","2022","2022","kg/ha","12137.8","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01345","Peaches and nectarines","2023","2023","kg/ha","11723.7","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01342.01","Pears","2021","2021","kg/ha","21998.2","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01342.01","Pears","2022","2022","kg/ha","21665.4","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01342.01","Pears","2023","2023","kg/ha","19386.4","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01705","Peas, dry","2021","2021","kg/ha","2132.3","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01705","Peas, dry","2022","2022","kg/ha","2133.1","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01705","Peas, dry","2023","2023","kg/ha","2133.8","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01346","Plums and sloes","2021","2021","kg/ha","11844.7","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01346","Plums and sloes","2022","2022","kg/ha","10650.2","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01346","Plums and sloes","2023","2023","kg/ha","10320.4","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01321","Pomelos and grapefruits","2021","2021","kg/ha","21554.1","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01321","Pomelos and grapefruits","2022","2022","kg/ha","17177.4","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01321","Pomelos and grapefruits","2023","2023","kg/ha","13145.6","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01510","Potatoes","2021","2021","kg/ha","24466.9","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01510","Potatoes","2022","2022","kg/ha","23759.8","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01510","Potatoes","2023","2023","kg/ha","22651.6","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01235","Pumpkins, squash and gourds","2021","2021","kg/ha","11946.7","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01235","Pumpkins, squash and gourds","2022","2022","kg/ha","12002","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01235","Pumpkins, squash and gourds","2023","2023","kg/ha","11889","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01342.02","Quinces","2021","2021","kg/ha","32298.2","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01342.02","Quinces","2022","2022","kg/ha","34772.4","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01342.02","Quinces","2023","2023","kg/ha","32412.9","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01443","Rape or colza seed","2021","2021","kg/ha","1605.3","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01443","Rape or colza seed","2022","2022","kg/ha","1817.3","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01443","Rape or colza seed","2023","2023","kg/ha","1687.2","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0113","Rice","2021","2021","kg/ha","9397","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0113","Rice","2022","2022","kg/ha","9190.7","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0113","Rice","2023","2023","kg/ha","9338.1","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0114","Sorghum","2021","2021","kg/ha","3978.3","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0114","Sorghum","2022","2022","kg/ha","4350.5","A","Official figure",""
