area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Honduras,Soyabean Oil,47068.12890867889,-43655.635628867036,-1.0,-4.347395795855823
Kenya,Beer,440178.4197800882,-233327.1863487521,-1.0,-4.5341280537841575
Eswatini,Wheat and products,74256.72913576929,-5596.168760533488,-0.08150485125594598,-4.765852420184163
Côte d'Ivoire,Soyabeans,138796.87265669348,-137981.51586574028,-1.0,-5.211259757625085
Saudi Arabia,Soyabean Oil,287550.47892683506,-189858.99797159582,-1.0,-5.240384893799968
Uruguay,Horses,55470.42055842241,-18907.343875636892,-0.5171157788408647,-5.515125226575405
United Kingdom,Sesame seed,374528.64751496346,-369476.116779692,-1.0,-5.5185905594380165
Saudi Arabia,Soyabean Cake,1388571.668810584,-207977.20187946432,-0.17616311756914116,-5.740473712744364
Nicaragua,Soyabean Oil,49679.79547592894,-38796.162379965834,-1.0,-5.782096586953649
"China, mainland",Soyabean Cake,67200496.11302714,-8263285.794971764,-0.1402049019690419,-5.8028773107245195
Republic of Korea,Sesame seed,415462.8088323653,-340858.81914886297,-1.0,-6.572910212818769
Dominican Republic,Soyabean Cake,216466.1633757651,-81392.7215137386,-0.6025812357463936,-7.440363809077323
United Arab Emirates,Soyabeans,78330.29237050058,-74013.24351103551,-1.0,-8.003551590533224
Uruguay,"Butter, Ghee",51875.54158758048,-28966.723868968904,-1.0,-8.449368171001915
Uruguay,Bovine Meat,543817.2978797749,-30025.958990782965,-0.05843998666016881,-8.758338821750954
Venezuela (Bolivarian Republic of),Soyabeans,299353.04109702806,-272453.27813248493,-1.0,-9.516744453021518
