area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Sao Tome and Principe,Millet and products,645.2241303888416,-645.2241303888416,-1.0,-2.984081778860808
Saint Lucia,Soyabeans,534.4645706170361,-534.4645706170361,-1.0,-2.9871372476108924
Barbados,Rape and Mustardseed,844.4604446004977,-844.4604446004977,-1.0,-3.01133786903721
Costa Rica,Rape and Mustard Oil,15961.546131313362,-15469.307868640917,-1.0,-3.0300137304038595
Bahrain,"Sweeteners, Other",4608.709934879612,-4608.709934879612,-1.0,-3.084744403155494
Malawi,Sugar (Raw Equivalent),332183.70498267055,-59108.61040063249,-0.2164555156196235,-3.0913119175481802
Malta,"Pulses, Other and products",2197.4797121041993,-1575.4797121041993,-1.0,-3.0916310248416865
Brunei Darussalam,"Oilcrops Oil, Other",1360.6549505113676,-1360.6549505113676,-1.0,-3.093149812593898
Estonia,Rape and Mustard Cake,112136.87046996366,-4114.371068325345,-0.0380880936019421,-3.0956394607462157
"China, Macao SAR",Maize and products,2097.629407699916,-2097.629407699916,-1.0,-3.1307013796622423
Cyprus,"Oilcrops Oil, Other",4787.192186391782,-3895.960384176807,-1.0,-3.1577483017016084
Ecuador,"Alcohol, Non-Food",133610.54417442728,-55681.769657892495,-0.7145213049138612,-3.1841511203328117
Samoa,Soyabeans,698.7621928152339,-698.7621928152339,-1.0,-3.2796652233195216
Guyana,"Roots, Other",24616.332977058373,-2616.332977058373,-0.11892422622992616,-3.304109881843061
Georgia,"Roots, Other",12463.64311209446,-12463.64311209446,-1.0,-3.306722733307048
Rwanda,"Alcohol, Non-Food",46074.98829114133,-43038.2755097053,-1.0,-3.313866067608911
Haiti,"Oilcrops Oil, Other",45688.1428721391,-37233.4402718725,-1.0,-3.314203013774391
Mauritania,"Oilcrops Oil, Other",17326.191628111676,-14731.397947828265,-1.0,-3.317185363487417
Hungary,"Alcohol, Non-Food",228024.86825620933,-32739.190529161657,-0.16764767857129526,-3.350950707786768
Kiribati,Sunflowerseed Oil,421.16909932950864,-421.16909932950864,-1.0,-3.3624664633191914
Nigeria,Sesame seed,973434.8596154656,-693171.9542945522,-1.0,-3.368500097370951
Venezuela (Bolivarian Republic of),"Alcohol, Non-Food",108015.64087889202,-97025.87037375041,-1.0,-3.389096361798847
Iraq,Beer,186524.89733738417,-143922.0893633474,-1.0,-3.423215686342935
Fiji,Maize and products,7114.436009181038,-3176.360834787358,-0.8065769936137397,-3.4597450958427407
Indonesia,"Alcohol, Non-Food",1073220.2286499653,-940293.489360975,-1.0,-3.4719488420506117
Latvia,"Alcohol, Non-Food",18893.988860975704,-6647.727992752798,-0.5428373659753234,-3.4855152213103295
Burkina Faso,Sugar (Raw Equivalent),177199.05449620698,-74019.08469409289,-0.717378429515457,-3.486221633374513
Tunisia,"Alcohol, Non-Food",44518.39159020772,-42603.00071223158,-1.0,-3.5190911465681305
Liberia,Maize and products,19942.577891383295,-17936.73359901219,-1.0,-3.562982334006038
Azerbaijan,"Oilcrops Oil, Other",164215.58896472803,-36723.385119529165,-0.28804416279538736,-3.574564173040572
Brunei Darussalam,"Sweeteners, Other",1580.9013442422615,-1580.9013442422615,-1.0,-3.5938315550423887
French Polynesia,"Roots, Other",7082.149262309083,-1082.1492623090826,-0.18035821038484712,-3.59826450016653
North Macedonia,Millet and products,7672.568936988994,-7639.568936988994,-1.0,-3.6137569568694556
Côte d'Ivoire,Seed cotton,587635.0833493113,-97193.08334931196,-0.19817446986455511,-3.670769963642136
Bahamas,Rape and Mustardseed,1514.025174842158,-1514.025174842158,-1.0,-3.7311570456878203
Cambodia,"Alcohol, Non-Food",81095.07009273891,-60965.61258561069,-1.0,-3.741075422465169
Azerbaijan,Maize and products,367151.0480994056,-39443.46100866853,-0.12036175713486696,-3.8393296838893636
Vanuatu,Soyabeans,1206.3064321178847,-1206.3064321178847,-1.0,-3.916935410095349
Ecuador,"Vegetables, Other",568724.0946221215,-68930.57367882231,-0.13791810175675012,-3.941781390087249
Cyprus,Rape and Mustardseed,4899.19962935415,-4899.19962935415,-1.0,-3.970892356124157
Antigua and Barbuda,"Roots, Other",413.74264606791473,-373.74264606791473,-1.0,-4.0458409135165105
Belize,Beans,9209.927097404918,-1588.6802707675288,-0.2084541160922455,-4.048356303526089
Namibia,Rape and Mustardseed,10016.714842326764,-10016.714842326764,-1.0,-4.060154929224651
Dominica,Maize and products,485.3962469768604,-292.3962469768604,-1.0,-4.074414009487493
Côte d'Ivoire,Sugar (Raw Equivalent),386942.6293173414,-108594.10403038003,-0.3901371631785213,-4.101361553380231
Israel,Sesame seed,96296.2152560967,-35863.353084511364,-0.5934412469607273,-4.129061649037632
